Name,Lyrics
Tonight You're Perfect,"Should I believe in the world, momma?
Should I give up and hide or should I stay and fight?
Should I believe in the rules, momma?
Tell me if I should run or learn to shoot a gun

I don't know what to believe, momma
Yeah, I'm down on my knees,
I'm begging please
Help me back on my feet, momma
'Cause I need someone to believe, believe, believe in

Tonight you're perfect
I wanna fall in love with the stars in your eyes
Tonight you're perfect
I wanna fall in love but only for the night
(Tonight you're perfect)
(Tonight you're perfect)
Only for the night
(Tonight you're perfect)
(Tonight you're perfect)
I feel perfect too!

You won't believe what I've seen, momma
There's a fire inside, there's a storm on the rise
It's in the air that we breathe, momma
Can I speak out my mind in these changing times?

Give me a reason to be, momma
'Cause I'm down on my knees,
I'm begging please
Help me back on my feet, momma
'Cause I need someone to believe, believe, believe in

Tonight you're perfect
I wanna fall in love with the stars in your eyes
Tonight you're perfect
I wanna fall in love but only for the night
(Tonight you're perfect)
(Tonight you're perfect)
Only for the night
(Tonight you're perfect)
(Tonight you're perfect)
I feel perfect too!

Only for the night
Only for the night
Only for the night

Tonight you're perfect,
I wanna fall in love with the stars in your eyes
Tonight you're perfect
I wanna fall in love but only for the night
"
Yo Soy Tu Maestro,"Baby, I'll be there, esperando por tu amor
A ti como que se te olvida con quién tú estás hablando
Los Telez


Yo soy tu maestro, quien supo enseñarte
Fui el segundo en tu vida, pero el primero en amarte
¿Cómo es posible que me digas que lo amas?
Cuando yo sé que soy el dueño de tu cama
Yo soy tu maestro, quien supo enseñarte
De tu cuerpo yo conozco hasta la más intima parte
¿Cómo es posible que me digas que lo amas?
Cuando yo sé que soy el dueño de tu cama


Cuando estabas afligida en mí tú encontraste amor
Me creías capaz de los que romperían tú corazón
Junto a mí tus días tristes volvieron a ver el sol
Y ahora tú me dices que has vuelto contigo amor
Y que lo quieres, lo amas y con él vas a casarte
Tratas de hacerme sufrir para que un día llegue a odiarte
Pero mientras más lo intentas, mi amor se hace más grande


Yo soy tu maestro, quien supo enseñarte
Fui el segundo en tu vida, pero el primero en amarte
¿Cómo es posible que me digas que lo amas?
Cuando yo sé que soy el dueño de tu cama
Yo soy tu maestro, quien supo enseñarte
De tu cuerpo yo conozco hasta la más intima parte
¿Cómo es posible que me digas que lo amas?
Cuando yo sé que soy el dueño de tu cama


Lo que me dices, ""Cool hermano, te debes resignar""
Y ese es el tipo de consejos que no quiero escuchar
No puedo seguir viviendo, si a mi lado tú no estás


Vuelve, te necesito, mujer ideal
Vuelve, mi cuerpo extraña tu calor
Vuelve, te necesito, mujer ideal
Vuelve, que estoy ardiendo de pasión


Yo soy tu maestro, quien supo enseñarte
Fui el segundo en tu vida, pero el primero en amarte
¿Cómo es posible que me digas que lo amas?
Cuando yo sé que soy el dueño de tu cama
Yo soy tu maestro, quien supo enseñarte
De tu cuerpo yo conozco hasta la más intima parte
¿Cómo es posible que me digas que lo amas?
Cuando yo sé que soy el dueño de tu cama


Y yo recuerdo aquellos besos como si hubiesen sido ayer
Lo dulce de tus labios, que para mí sabían a miel
Mi cuerpo poco a poco adentrándose en tu ser
Oh, cash, y lo tierno de tu piel
Susurros en tus oídos que te hacian excitar
Lo bien que nos sentiamos a la hora de amar
Cada minuto, cada segundo lo soliamos disfrutar, baby
Pero ahora ya no estás


Yo soy tu maestro, quien supo enseñarte
Fui el segundo en tu vida, pero el primero en amarte
¿Cómo es posible que me digas que lo amas?
Cuando yo sé que soy el dueño de tu cama
Yo soy tu maestro, quien supo enseñarte
De tu cuerpo yo conozco hasta la más intima parte
¿Cómo es posible que me digas que lo amas?
Cuando yo sé que soy el dueño de tu cama


Baby I'll be there, esperando por tú amor"
To Ü (feat. AlunaGeorge),"Believe me, I could live without you
But I really don't want to
Believe me, I could love without you
But I really don't need to

'Cause leavin' is the hardest thing to do
But being left is hard, oh yes, it's true
But you're coming back
How do I get back to you, to you, to you?

I cannot get back to you
Back to, get back to you

Leavin' is the hardest thing to do
But being left is hard, oh yes, it's true
But you're coming back
How do I get back to you, to you, to you?

Get back to you

'Cause leavin' is the hardest thing to do
But being left is hard, oh yes, it's true
But you're coming back
How do I get back to you, to you, to you?

I cannot get back to you
Back to, get back to you
Back to, get back to you

Well I don't wanna face it
All this time that I wasted
It's so close I can taste it

I cannot get back to you
I cannot get back to you
I cannot get back to you
I cannot get back to you
I cannot get back to you
I cannot get back to you
I cannot get back to you
I cannot get back to you

Leavin' is the hardest thing to do
But being left is hard, oh yes, it's true
"
Paradiso,"You can sun if you want to
Fun if you want to
Stay in the shade all day if you want to
Villa with shore view, 'punzle I adore you
Bitches rock whatever she say they can afford too
What'chu know about open out key west, relax, recess, all up on the beach, yes
Beach sandy, look at little bambi in the two piece set looking like a banjee
Can we kick it in the Hamptons?
Residing where it's fancy
Porto Pino with a champagne
She a leader and a champion
Coco dream things, aqua green scenes
Palm trees caribbean queen
A paradise with me is so amazing
So elevating, switch up on the beat and scene
"
Make Me Smile (Come up and See Me),"You've done it all, you've broken every code
And pulled the rebel to the floor
(Ba ba ba ba ba ba ba ba)
(Ba ba ba ba ba ba ba ba)
You spoiled the game, no matter what you say
For only metal, what a bore

(Ooh la la la)
Blue eyes, blue eyes
(Ooh la la la)
How can you tell so many lies?
(Ooh ah)

Come up and see me, make me smile
Or do what you want, running wild

There's nothing left, all gone and run away
Maybe you'll tarry for a while
(Ba ba ba ba ba ba ba ba)
(Ba ba ba ba ba ba ba ba)
It's just a test, a game for us to play
Win or lose, it's hard to smile

(Ooh la la la)
Resist, resist
(Ooh la la la)
It's from yourself you have to hide, oh
(Ooh ah)

Come up and see me, to make a-me smile, oh
Or do what you want, run on wild

There ain't no more, you've taken everything
From my belief in Mother Earth
(Ba ba ba ba ba ba ba ba)
(Ba ba ba ba ba ba ba ba)
Can you ignore my faith in everything?
'Cause I know what faith is and what it's worth

(Ooh la la la)
Away, away
(Ooh la la la)
And don't say maybe you'll try, oh oh oh
(Ooh ah)

To come up and see me to make a-me smile
Or do what you want, just run on wild

(Ooh la la la)
(Ooh la la la)
(Ooh ah)
Come up and see me, make me smile
Or do what you want, running wild

(Ooh la la la)
(Ooh la la la)
(Ooh ah)
Come up and see me, make me smile
Or do what you want, running wild
"
One Night Only,"You want all my love and my devotion
You want my love and soul, right on the line
I have no doubt that I could love you, forever
The only trouble is, you really don't have the time

You've got one night only, one night only
That's all you have to spare
One night only
Let's not pretend to care
One night only, one night only
Come on, big baby, come on
One night only
We only have 'til dawn

In the morning this feeling will be gone
It has no chance going on
Something so right has got no chance to live
So let's forget about chances, it's one night I will give

One night only, one night only
You'll be the only one
One night only
Then you have to run

One night only, one night only
There's nothing more to say
One night only
Words get in the way

One night only
One night only
One night only"
oui,"Ah ah ah ah ah
Ah ah ah ah ah
Ah ah ah ah ah ah

I think about all the time
Think you may need all of mine
Hate to say you know that love is blind
I'm 'bout to see, I'll close my eyes
(Truth is) They can't see you in here though
Most of them need dollar signs to make
Every day your birthday
And every night your Valentine

If we
Tried that we could be
Somewhere in the climate
Is warm, long as you around me
I swear that everything will be just fine
I wish that we could take some time
Go anywhere, baby I don't mind
Grown man, in my suit and tie
Hey, there's no we without you and I
Oh, yeah, ah yeah, ah ah yeah
Hey, there's no we without you and I
Oh yeah, ah yeah, ah ah yeah
Hey, there's no we without you and I

See my baby know
Where my baby go, I go
It's no better feeling, you know
When I'm next to her for sure
It's like you on my mind all day
Get this off my chest
Ah damn, I know I love you
I swear your shit the best
Friends, they know they hate
Get that off my chest
Ah yeah, I think I love you
Oh baby, maybe

If we
Tried that we could be
Somewhere in the climate
Is warm, long as you around me
I swear that everything will be just fine
I wish that we could take some time
Go anywhere, baby I don't mind
Grown man, in my suit and tie
Hey, there's no we without you and I
Oh, yeah, ah yeah, ah ah yeah
Hey, there's no we without you and I
Oh yeah, ah yeah, ah ah yeah
Hey, there's no we without you and I

Ooh, da du du du
Ooh, da du du du
Ooh, da du du du
Ooh, da du du du

If we
Tried that we could be
Somewhere in the climate
Is warm, long as you around me
I swear that everything will be just fine
I wish that we could take some time
Go anywhere, baby I don't mind
Grown man, in my suit and tie
Hey, there's no we without you and I
Oh, yeah, ah yea, ah ah yeah
Hey, there's no we without you and I
Oh yeah, ah yeah, ah ah yeah
Hey, there's no we without you and I
"
high.flying.,"We both know you can't take it slow
Cause we've seen it all before
Neon lights you live for the night
Sneaking out the back door
Rolling the dice you're caught up in the vices
Lifting lines another score
Late night buzz you're not one to trust
You never needed help before

I know you're high flying
And I'll be waiting here when you're done trying
It's been a long long long time
And I'll be making sure you touch down fine

You're playing the club an ace for the love and breaking hearts from up above.
Endless fun gamble and run another day you ask for more.
Living up so high you're caught up in the sky and you'll never die or fall in fear
but it's getting clear the ship's hard to steer you're tearing through the atmosphere
"
Woo Hah!! Got You All In Check,"When I step up in the place
ay yo I step correct
Woo-Hah
got you all in check
I got that head nod shit
make you break your neck
Woo-Hah
I got you all in check
And you know we come through
to wreck the disco tech
Woo-Hah
I got you all in check
Throw your hands up in the air
don't ever disrespect
Woo-Hah
I got you all in check

Busta Rhymez up in the place true indeed
yes I catch wreck and that's word on my seed
I guarantee to give you what you need
One blood everybody like Junior Reid
Wake up every morning yo I must up seed
Nationwide darkhorse make the world stampede
Yo really let me roll some weed
mad charged nigga now I must proceed
Yo we 'bout to make you set speed
Peace to Baby Phife, Q-Tip, Ali Shaheed
Watch me knock you out like Apollo Creed
Body blow bustin' your shit making you bleed
Just feed off dynamic flows an take heed
Need more information homeboy then just read
Ay-Ya!! you can read all about the pure breed
Do the bogle dance I'll do the pepperseed

How dare you ever try to step on my suede shoes
Top Gun shut down your Firm like Tom Cruise
Please let me get down and blow a fuse
Actin' fool breakin' shit down to molecules
Yo let me hit you with my ill street blues
Busta Rhymez always headlines the street news
Woo-Hah!!! Yo baby girl don't be confused
Sail my seven seas and enjoy my boat cruise
I know you really want to know who's
comin' through leaving bloodstains and residues
Sorry homeboy but your flow sounds used
Gotta pay your dues baby you know the rules
Whenever I travel the world I landcruise
If you choose to fuck around you get bruised
Now I got you gassed on super unleaded fuels
Get me through give me some space you excuse

You now rockin wit the best
the boy scout is who I be.....
...Flip Mode is the sqiddaud
Hah
Yah Yah Yah Yah Yah [8X]

Yo which muthaphucka stole my flow
eenie....meenie miney mo
Throw that type of nigga right out my window
Blast your ass hit you with my direct blow
Bo!! Coming through like G.I. Joe
Star Wars movie deal like Han Solo
Make you bounce around like this was calypso
Always shine cause I got the high pro glow
You think that you can hide you think you can lay low
Roll up on your ass like Hawaii 5-0
Mad out with my dreads in my kango
forget the Moet nigga just pass the Cisco
Yo!! Take a trip down to Mexico
Come back with that shit that might make you psycho
Maximum frequencies through your stereo
Sorry this is it but homeboy I got to go
"
Adele - Oh My God,"I ain't got too much time to spare
But I'll make time for you to show how much I care
Wish that I would let you break my walls
But I'm still spinning out of control from the fall
Boy you give good love, I won't lie
It's what keeps me coming back even though I'm terrified
I know that it's wrong
But I want to have fun
Hmm yeah
Hmm yeah
I know that it's wrong
But I want to have fun
Hmm yeah
Hmm yeah
Oh my God, I can't believe it, out of all the people in the world
What is the likelihood of jumping out of my life and into your arms?
Maybe baby I'm just losing my mind 'cause this is trouble, but it feels right
Teetering on the edge of heaven and hell is a battle I cannot fight
I'm a fool, but they all think I'm blind
I'd rather be a fool than leave myself behind
I don't have to explain myself to you
I am a grown woman and I do what I want to do
I know that it's wrong

But I want to have fun
Hmm yeah
Hmm yeah
I know that it's wrong
But I want to have fun
Hmm yeah
Hmm yeah
Oh my God, I can't believe it, out of all the people in the world
What is the likelihood of jumping out of my life and into your arms?
Maybe baby I'm just losing my mind 'cause this is trouble, but it feels right
Teetering on the edge of heaven and hell is a battle I cannot fight
Lord don't let me, I said lord don't let me
I said lord don't let me let me down
Lord don't let me, I said lord don't let me
I said lord don't let me let me down
Lord don't let me, I said lord don't let me
I said lord don't let me let me down
Lord don't let me, I said lord don't let me
I said lord don't let me let me down
Oh my God, I can't believe it, out of all the people in the world
What is the likelihood of jumping out of my life and into your arms?
Maybe baby I'm just losing my mind 'cause this is trouble, but it feels right
Teetering on the edge of heaven and hell is a battle I cannot fight
Lord don't let me, I said lord don't let me
I said lord don't let me let me down
Lord don't let me, I said lord don't let me
I said lord don't let me let me down

Lord don't let me, I said lord don't let me
I said lord don't let me let me down
Lord don't let me, I said lord don't let me
I said lord don't let me let me down"
Just Don't Know It Yet,"Keep me high, keep me breathing
Before my head hits the ground (hey)
Thought I was fine with believing
But I found my way out

My father said, ""Don't you worry, don't you worry 'bout a thing""
My father said, ""There's a reason, hear me calling""
He said, ""Don't you worry 'bout tomorrow, don't you ever forget
You will find that heaven's in you, you just don't know it yet""

You just don't know it yet, yet, yet, yet, yet
You just don't know it yet, yet, yet, yet
You will find that heaven's in you, you just don't know it yet


(Hey, hey, hey, hey)
You just don't know it yet, yet, yet, yet, yet (hey, hey)
You will find that heaven's in you, you just don't know it yet

I believe in a feeling
It's more than you know (hey)
Give me life, give me meaning
And I will never let go

My father said, ""Don't you worry, don't you worry 'bout a thing""
My father said, ""There's a reason, hear me calling""
He said, ""Don't you worry 'bout tomorrow, don't you ever forget
You will find that heaven's in you, you just don't know it yet""

You just don't know it yet, yet, yet, yet, yet
You just don't know it yet, yet, yet, yet
You will find that heaven's in you, you just don't know it yet

(Hey, hey, hey, hey)
You just don't know it yet, yet, yet, yet
You just don't know it yet
You just don't know it
You just don't know it yet, know it yet, know it yet
You will find that heaven's in you, you just don't know it yet"
Memory,"Midnight, not a sound from the pavement
Has the moon lost her memory?
She is smiling alone
In the lamplight, the withered leaves collect at my feet
And the wind begins to moan
Memory, all alone in the moonlight
I can dream of the old days
Life was beautiful then
I remember the time I knew what happiness was
Let the memory live again
Every street lamp seems to beat
A fatalistic warning
Someone mutters and the street lamp sputters
And soon it will be morning
Daylight, I must wait for the sunrise
I must think of a new life
And I mustn't give in
When the dawn comes, tonight will be a memory too
And a new day will begin
Burnt out ends of smoky days
The stale, cold smell of morning
A street lamp dies, another night is over
Another day is dawning
Touch me, it's so easy to leave me
All alone with the memory
Of my days in the sun
If you touch me, you'll understand what happiness is
Look, a new day has begun"
Mala Mujer,"Mala mujer, mala mujer
Me han dejado cicatrices por todo mi cuerpo tus u\'f1as de gel
Mala mujer (mala mujer), mala mujer (mala mujer)

Me han dejado cicatrices por todo mi cuerpo tus u\'f1as de gel
pardeftab720\partightenfactor0
 (Vamono')
Me he jurao' miles de veces, miles de veces
Que iba borrar ese rastro, olvidar todo lo (Ma-ma-mala mujer)
Soy un perro perdio' en la calle, perdio' en la calle
Sintiendo que cualquier brisa me arrastra tu olor
Solo porque t\'fa te has ido, quiero perder el sentido
Y bailo borracho perdio', desesperao'
Solo porque t\'fa te has ido, quiero perder el sentido
Y bailo borracho perdio', desesperao'
Mala mujer, mala mujer
Me han dejado cicatrices por todo mi cuerpo tus 'f1as de gel
Mala mujer, mala mujer
Me han dejado cicatrices por todo mi cuerpo tus 'f1as de gel
Y ahora estoy desesperao' (Desesperao')
Desesperao' (Desesperao')
Bailo borracho perdio', desesperao'
Y ahora estoy, desesperao', desesperao'
Bailo borracho perdio', desesperao'
Mala mujer, mala mujer, mala mujer (Hey)
Mala mujer (mala mujer), mala mujer (mala mujer)
Me han dejado cicatrices por todo mi cuerpo tus 'f1as de gel
(Vamono')
La primera vez que vi to' ese cuerpo moverse
Estaba sonando el tema el de Dellafuente
Un golpe de sudor empapando mi frente
Le brillaban las 'f1as, la miraba la gente
Tambi obstacu bien alto el ment
Lo hac\'eda despacito al ritmo de la canci
Yo estaba en la cabina preparando el show
Pero quer\'eda bajarme y arrancar la crop
Cuando la vi bailando
Algo como quer\'eda dentro de si
Cuando la vi bailando
Deb\'ed correr lejos de all\'ed
Pero la vi bailando
Y no me pude contener
Y ahora yo estoy llorando y ella bailando, mala mujer
'fa lo que eres es una ladrona
Que me has llevado a la ruina
Te has llevado mi coraz, mi orgullo, mi pasta, mi paz, mi vida
'fa lo que eres es una ladrona (Ladrona)
Que me has llevado a la ruina (A la ruina)
Te has llevado mi coraz, mi orgullo, mi pasta, mi paz, mi vida (Mi vida)
Mala mujer, mala mujer
Me han dejado cicatrices por todo mi cuerpo tus 'f1as de gel
Mala mujer, mala mujer
Me han dejado cicatrices por todo mi cuerpo tus 'f1as de gel"
Rose Dr,"Got the ho's teeth done, I sent the ho to Dr. Rose
Brand new Dior Python, yeah, I'm coppin' those
On a light day, got a fifty rockin' Retros
I was out in Portland grabbin' bags, seen Damian Lillard
Brand new TEC cost a hundred and we playin' with it
Compact four-five, the green beam came with it
Had to read my horoscope to make a couple things clear
Had to cop royal blue Balencis, they was too hard
I'ma let some shots ring out like a shooting guard
I just made a forty from the Barclays debit card
I was out in Humboldt County, hit me with the 'za
but the duffle bag Goyard
Serve Jackie O, in the trap watchin' Ozark
Just to pay a nigga what he want, you need three labels
Breakin' down bud on the fiv\uc0\u1077 -rack coffee table

Plug sent the load, I ain't lik\uc0\u1077  it, got sent back
Young nigga bored, so I made him go spin back
He don't know the address, spin the whole cul-de-sac
Drac' with a biscuit and it came with a shoulder strap
Unc' sent the pack when it came, it was deep-fried
Say you got a plug with the bag with a cheap price
Shawty can't shop in the trap, got denied
I was in the trenches with the gang like a D line
I was shootin' a movie with the bitch like a GoPro
509, out in Dallas like I'm Romo
Opps don't get spinned, roll 'em in a fronto
Flip the whole car, you gotta fix it up with Bondo
I'ma beat the pack in the trap like I'm Mondo
Ballin' on you niggas in LA like I'm Lonzo
You ain't finna shoot it, what the fuck you got a gun for?
Still in the trenches 'cause a nigga really want smoke

Got the ho's teeth done, I sent the ho to Dr. Rose
Brand new Dior Python, yeah, I'm coppin' those
On a light day, got a fifty rockin' Retros
I was out in Portland grabbin' bags, seen Damian Lillard
Brand new TEC cost a hundred and we playin' with it
Compact four-five, the green beam came with it
Had to read my horoscope to make a couple things clear
Had to cop royal blue Balencis, they was too hard
I'ma let some shots ring out like a shooting guard
I just made a forty from the Barclays debit card
I was out in Humboldt County, hit me with the 'za
 but the duffle bag Goyard
Serve Jackie O, in the trap watchin' Ozark
Just to pay a nigga what he want, you need three labels
Breakin' down bud on the five-rack coffee table


Had to cop the Rover truck, I made a few juggs in it
Too much drip, closet ain't got room in it
One stick, one compact, got the tool with me
One lightskin, one dark, got two with me
Three-month run, no sweat, made two million
Had to tee up the profile, got too many
I'ma get some M's, I don't care what it cost
He gon' catch a body for the Circle, he don't care what the cost
Yeah, pull up with the block out, nigga, we gon' pop shit
We gon' treat them niggas like mosquitos, we gon' off shit
Me and JRoc countin' up, eatin' crawfish
Go in with the blitz like a nigga playin' offense
Niggas say they took somethin' from me, that's nonsense
Cartier havin', these baguettes with the blue lens
Two-rack sweatsuit plain with the Retros
Ridin' in the Sprinter with the TV and white seats
We gon' leave a nigga out stretched with a white sheet
Size fourteen, servin' in Dior, got big feet
They was thirteen twenty-five, I just bought three
I'ma flee every time, they ain't never caught me
Shawty disappointed, she say, ""You ain't never call me""
I was playin' music, fuckin' lil' shawty offbeat
I'm a real plug, I ain't talkin' to you pipsqueaks
Fuck it, I'ma go and get the Urus next week"
Belem,"Peut-être dans la tour de Belem 
Dans la forêt autour de Belem 
Sur le voilier ouh que le vent mène 
Le Belem 
Le Belem
C'est l'histoire d'un secret perdu 
D'un mystère qui a disparu 
Il manque et nos cœurs sont lourds 
Où est-il dans la nuit du jour 
L'ancien amour
Peut-être dans la tour de Belem 
Dans la forêt autour de Belem 
Sur le voilier ouh que le vent mène 
Le Belem 
Le Belem
C'est l'histoire d'une douceur perdue 
Qui de Belem nous était venue
La légende où des hommes aimaient 
Aux hommes s'est eveillé 
Chassant les monstres de la cité 
L'égoïsme, la méchanceté 
Est-il parti pour toujours 
Où est-il l'ancien amour
Peut-être dans la tour de Belem 
Dans la forêt autour de Belem 
Sur le voilier ouh que le vent mène 
Le Belem 
Le Belem
Et je vis dans la vie matériel 
Et j'envoie mon chant vers le ciel 
Et je chante et j'espère toujours 
Pour nous retrouver un jour 
L'ancien amour
Peut-être dans la tour de Belem 
Dans la forêt autour de Belem 
Sur le voilier ouh que le vent mène 
Le Belem 
Belem"
Who Needs You,"I make it half past six you come at seven
Always try to keep me hanging round
You little spoilt thing girl you kept me waiting
Never contemplating my point of view
This comes as no surprise
I'm a fool for I believed your lies
But now I've seen through your disguise
Who needs well I don't need who needs you?
Oh I believed you
Went on my knees to you
How I trusted you
But you turned me down
But it's dog eat dog in this rat race
And it leaves you bleeding lying flat on your face
Reaching out, reaching out for a helping hand
Where is that helping hand? (Oh, muchachos)
Ooh, well I don't need you
How I was pushed around?
Don't let it get you down
You walked all over me
But don't you ever give in
Taking one step forward slipping two steps back
There's an empty feeling that you can't forget
Reaching out (reaching out) for a helping (for a helping hand) hand
When I met you you were always charming
Couldn't sleep at night 'til you were mine
You were oh so, so sophisticated
Never interested in what I'd say
I had to swallow my pride
So naive you took me for a ride
But now I'm the one to decide
Who needs, well I don't need, who needs you?"
Don't Let It Get You Down,"Old man lying by the side of the road
With the lorries rolling by
Blue moon sinking from the weight of the load
And the buildings scrape the sky
Cold wind ripping down the alley at dawn
And the morning paper flies
Dead man lying by the side of the road
With the daylight in his eyes
Don't let it bring you down
It's only castles burning
Find someone who's turning
And you will come around
Blind man running through the light of the night
With an answer in his hand
Come on down to the river of sight
And you can really understand
Red lights flashing through the window in the rain
Can you hear the sirens moan?
White cane lying in a gutter in the lane
If you're walking home alone
Don't let it bring you down
It's only castles burning
Find someone who's turning
And you will come around
Don't let it bring you down
It's only castles burning
Just find someone who's turning
And you will come around
Don't let it bring you down
It's only castles burning
Just find someone who's turning
And you will come around"
Closer,"Hey, I was doing just fine before I met you
I drink too much and that's an issue, but I'm okay
Hey, you tell your friends it was nice to meet them
But I hope I never see them again

I know it breaks your heart
Moved to the city in a broke-down car, and
Four years, no calls
Now you're looking pretty in a hotel bar
And I-I-I can't stop
No, I-I-I can't stop
So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of that mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

We ain't ever getting older

We ain't ever getting older
You look as good as the day I met you
I forget just why I left you, I was insane
Stay and play that Blink-182 song
That we beat to death in Tucson, okay
I know it breaks your heart
Moved to the city in a broke-down car, and
Four years, no call
Now I'm looking pretty in a hotel bar
And I-I-I can't stop
No, I-I-I can't stop
So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of that mattress that you stole
From your roommate back in Boulder
We ain't ever getting older

We ain't ever getting older
 
We ain't ever getting older
So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of that mattress that you stole
From your roommate back in Boulder
We ain't ever getting older
We ain't ever getting older
No, we ain't ever getting older
We ain't ever getting older
No, we ain't ever getting older
We ain't ever getting older
We ain't ever getting older
We ain't ever getting older
No, we ain't ever getting older

We ain't ever getting older

No, we ain't ever getting older"
Tell That Devil,"Tell that devil to take you back, take you back, take you back
My heart went from red to black, red to black, red to black
Came up from that lake of fire, lake of fire, lake of fire
Only had that one desire, one desire, one desire
Got a mouth full of gasoline
Don't you bring your mind in me
I gave you all I got to give
I know that ain't no way to live
So, I told that devil to take you back
I told that devil to take you back
You came around to watch me break, watch me break, watch me break
Just another soul to take, soul to take, soul to take
Sweet shot of kerosene
When I threw it back, it poisoned m
I gave you all I got to give
I know that ain't no way to live
So, I told that devil to take you back
I told that devil to take you back
You're a sweet shot of kerosene
When I threw it back, it poisoned me
'Cause I gave you all I got to give
I know that ain't no way to live
So, I told that devil to take you back
I told that devil to take you back"
Sunny,"Sunny
Yesterday my life was filled with rain
Sunny
You smiled at me and really eased the pain
Now the dark days are done, and the bright days are here
My sunny one shines so sincere
Sunny one so true, I love you

Sunny
Thank you for the sunshine bouquet
Sunny
Thank you for the love you brought my way
You gave to me your all and all
And now I feel ten feet tall
Sunny one so true, I love you

Sunny
Thank you for the truth you let me see
Sunny
Thank you for the facts from A to Z
My life was torn like wind-blown sand
And a rock was formed when you held my hand (oh, sunny)
Sunny one so true, I love you

Sunny
Thank you for the smile upon your face
Hmm, Sunny
Thank you, thank you for the gleam that flows with grace
You're my spark of nature's fire
You're my sweet complete desire
Sunny, one so true, yes, I love you

Sunny
Yesterday, all my life was filled with rain
Sunny
You smiled at me and really-really eased the pain
Now the dark days are done, and the bright days are here
My sunny one shines so sincere (Sunny)
Sunny, one so true, I love you
I love you (sunny)
I love you (sunny)
Signin' I love you (sunny)
Yes, I love you (sunny)"
I'm Waiting For The Man - Album Version (Stereo),"I'm waiting for my man
26 dollars in my hand
Up to Lexington, 125
Feel sick and dirty, more dead than alive
I'm waiting for my man

Hey, white boy, what you doin' uptown?
Hey, white boy, you chasin' our women around?
Oh pardon me sir, it's the furthest from my mind
I'm just lookin' for a dear, dear friend of mine
I'm waiting for my man

Here he comes, he's all dressed in black
Beat up shoes and a big straw hat
He's never early, he's always late
First thing you learn is that you always gotta wait
I'm waiting for my man
I'm workin' now

Up to a Brownstone, up three flights of stairs
Everybody bodies pinned you but nobody cares
He's got the works, gives you sweet taste
Ah, then you gotta split because you got no time to waste
I'm waiting for my man

Baby, don't you holler, darlin', don't you bawl and shout
I'm feeling good, you know I'm gonna work it on out
I'm feeling good, I'm feeling oh so fine
Until tomorrow, but that's just some other time
I'm waiting for my man
Oh, get home"
Roll To Me,"Look around your world, pretty baby
Is it everything you hoped it'd be?
The wrong guy, the wrong situation
The right time to roll to me
Roll to me
And look into your heart, pretty baby
Is it aching with some nameless need?
Is there something wrong, and you can't put your finger on it?
Right then, roll to me
And I don't think I have ever seen
A soul so in despair
So if you want to talk the night through
Guess who will be there?
So don't try to deny it, pretty baby
You've been down so long you can hardly see
When the engine's stalled, and it won't stop raining
It's the right time to roll to me
Roll to me
Roll to me
And I don't think I have ever seen
A soul so in despair
So if you want to talk the night through
Guess who will be there?
So look around your world, pretty baby
Is it everything you hoped it'd be?
The wrong guy, the wrong situation
The right time to roll to me
The right time to roll to me
The right time to roll to me, ooh"
Kenya,"I wanna stay in your arms
I wanna sway just where you are
I'm gonna fight all those soldiers

To hear down your voice

I want to stand up, facing the rising sun
Making dreams all around us
We have life, we have life
Kenya, can you hear me down?
Can you hear me down?
Oh, Kenya, I won't let you down
Down on the ground
Oh, Kenya, can you hear me down?
Can you hear me down?
Oh, Kenya, I won't let you down
Down on the ground
I wanna hold you and never let you go
I gotta find a way to get you on my road
Gotta make some place in my life
For you to lay down by my side
I want to stand up, facing the rising sun
Making dreams all around us
We have the life, we have the life
We have to rise
Kenya, can you hear me down?
Can you hear me down?
Oh, Kenya, I won't let you down
Down on the ground
Oh, Kenya, can you hear me down?
Can you hear me down?
Oh, Kenya, I won't let you down
Down on the ground
I want to stand up, facing the rising sun
Making dreams all around us
We have life, we have life
Kenya, can you hear me down?
Can you hear me down?
Oh, Kenya, I won't let you down
Down on the ground
Oh, Kenya, can you hear me down?
Can you hear me down?
Oh, Kenya, I won't let you down
Down on the ground
Kenya, can you hear me down?
Can you hear me down?
Oh, Kenya, I won't let you down
Down on the ground"
